=====  ==================================================================  ===================  =======  ========  ==============  ============  =============  ===========  ============================  ===============================================================================================================
  pid  name                                                                create_time            cores  status      memory_usage    read_bytes    write_bytes    n_threads  username                      path
=====  ==================================================================  ===================  =======  ========  ==============  ============  =============  ===========  ============================  ===============================================================================================================
 7604  vmware-hostd.exe                                                    2020-01-24 18:10:03       12  running         22654976      20363358         446913           22  NT AUTHORITY\SYSTEM           C:\Program Files (x86)\VMware\VMware Workstation\vmware-hostd.exe
 7840  svchost.exe                                                         2020-01-24 18:10:17       12  running          2301952       4742890        4321080            9  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 7848  LockApp.exe                                                         2020-01-28 13:32:23       12  stopped         13324288         37875              8           11  LAPTOP-G1N7SMFF\yassi         C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe
 8212  firefox.exe                                                         2020-01-28 10:29:50       12  running        158380032     215825728      289222324           60  LAPTOP-G1N7SMFF\yassi         C:\Program Files\Mozilla Firefox\firefox.exe
 8428  svchost.exe                                                         2020-01-28 12:52:35       12  running          4182016       2798959          56871           14  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 8436  postgres.exe                                                        2020-01-24 18:10:04       12  running            24576         42702            892            3  NT AUTHORITY\SYSTEM           C:\Program Files\AccessData\PostgreSQL\9.6\bin\postgres.exe
 8604  firefox.exe                                                         2020-01-28 10:27:19       12  running        142708736     129785661      100825696            9  LAPTOP-G1N7SMFF\yassi         C:\Program Files\Mozilla Firefox\firefox.exe
 8660  postgres.exe                                                        2020-01-24 18:10:04       12  running           131072         35852              0            2  NT AUTHORITY\SYSTEM           C:\Program Files\AccessData\PostgreSQL\9.6\bin\postgres.exe
 8760  postgres.exe                                                        2020-01-24 18:10:04       12  running            77824         35852              0            2  NT AUTHORITY\SYSTEM           C:\Program Files\AccessData\PostgreSQL\9.6\bin\postgres.exe
 8836  postgres.exe                                                        2020-01-24 18:10:04       12  running            69632         35852              0            2  NT AUTHORITY\SYSTEM           C:\Program Files\AccessData\PostgreSQL\9.6\bin\postgres.exe
 8884  firefox.exe                                                         2020-01-28 12:35:17       12  running         20103168       4077956        2571712           35  LAPTOP-G1N7SMFF\yassi         C:\Program Files\Mozilla Firefox\firefox.exe
 8908  postgres.exe                                                        2020-01-24 18:10:04       12  running           475136       1058675            140            2  NT AUTHORITY\SYSTEM           C:\Program Files\AccessData\PostgreSQL\9.6\bin\postgres.exe
 8920  conhost.exe                                                         2020-01-28 13:57:53       12  running         11493376          7350              0            5  LAPTOP-G1N7SMFF\yassi         C:\Windows\System32\conhost.exe
